date,week,region,deaths,tests
2020-08-07,32,PL41,1.0,0.0
2020-08-07,32,PL51,1.0,0.0
2020-08-07,32,PL52,1.0,0.0
2020-08-07,32,PL71,2.0,0.0
2020-08-07,32,PL82,1.0,0.0
2020-08-07,32,PL84,1.0,0.0
2020-08-07,32,PL9,1.0,0.0
2020-08-08,32,PL22,7.0,0.0
2020-08-08,32,PL41,2.0,0.0
2020-08-08,32,PL51,1.0,0.0
2020-08-08,32,PL71,1.0,0.0
2020-08-08,32,PL72,1.0,0.0
2020-08-08,32,PL82,1.0,0.0
2020-08-09,32,PL21,2.0,0.0
2020-08-09,32,PL22,1.0,0.0
2020-08-09,32,PL41,1.0,0.0
2020-08-09,32,PL72,1.0,0.0
2020-08-09,32,PL82,1.0,0.0
2020-08-09,32,PL9,1.0,0.0
2020-08-10,33,PL22,1.0,26855.0
2020-08-10,33,PL82,1.0,3282.0
2020-08-11,33,PL22,2.0,0.0
2020-08-11,33,PL41,2.0,0.0
2020-08-11,33,PL51,1.0,0.0
2020-08-11,33,PL62,1.0,0.0
2020-08-11,33,PL63,1.0,0.0
2020-08-11,33,PL71,2.0,0.0
2020-08-11,33,PL82,1.0,0.0
2020-08-11,33,PL84,1.0,0.0
2020-08-11,33,PL9,1.0,0.0
2020-08-12,33,PL21,2.0,0.0
2020-08-12,33,PL22,2.0,0.0
2020-08-12,33,PL41,2.0,0.0
2020-08-12,33,PL71,1.0,0.0
2020-08-12,33,PL81,1.0,0.0
2020-08-12,33,PL9,1.0,0.0
2020-08-13,33,PL21,3.0,0.0
2020-08-13,33,PL22,9.0,0.0
2020-08-13,33,PL63,1.0,0.0
2020-08-13,33,PL82,1.0,0.0
2020-08-14,33,PL21,2.0,0.0
2020-08-14,33,PL22,2.0,0.0
2020-08-14,33,PL41,3.0,0.0
2020-08-14,33,PL71,5.0,0.0
2020-08-14,33,PL72,1.0,0.0
2020-08-14,33,PL82,1.0,0.0
2020-08-14,33,PL84,1.0,0.0
2020-08-15,33,PL21,2.0,0.0
2020-08-15,33,PL22,4.0,0.0
2020-08-15,33,PL41,1.0,0.0
2020-08-15,33,PL52,1.0,0.0
2020-08-15,33,PL61,1.0,0.0
2020-08-15,33,PL81,1.0,0.0
2020-08-15,33,PL82,1.0,0.0
2020-08-16,33,PL21,6.0,0.0
2020-08-16,33,PL84,1.0,0.0
2020-08-16,33,PL9,1.0,0.0
2020-08-17,34,PL21,4.0,0.0
2020-08-17,34,PL22,1.0,0.0
2020-08-17,34,PL41,1.0,0.0
2020-08-17,34,PL63,1.0,0.0
2020-08-17,34,PL84,1.0,0.0
2020-08-18,34,PL21,1.0,0.0
2020-08-18,34,PL22,7.0,0.0
2020-08-18,34,PL41,1.0,0.0
