date,week,region,tests,confirmed,deaths,recovered
2020-04-04,14,CZ064,0.0,22.0,1.0,7.0
2020-04-04,14,CZ071,0.0,32.0,0.0,2.0
2020-04-04,14,CZ072,0.0,4.0,0.0,3.0
2020-04-04,14,CZ080,0.0,70.0,0.0,5.0
2020-04-05,14,CZ010,0.0,36.0,3.0,8.0
2020-04-05,14,CZ020,0.0,15.0,0.0,7.0
2020-04-05,14,CZ031,0.0,0.0,0.0,1.0
2020-04-05,14,CZ032,0.0,11.0,0.0,0.0
2020-04-05,14,CZ041,0.0,3.0,2.0,5.0
2020-04-05,14,CZ042,0.0,14.0,0.0,5.0
2020-04-05,14,CZ051,0.0,7.0,0.0,0.0
2020-04-05,14,CZ052,0.0,4.0,0.0,1.0
2020-04-05,14,CZ053,0.0,2.0,0.0,1.0
2020-04-05,14,CZ063,0.0,0.0,0.0,2.0
2020-04-05,14,CZ064,0.0,9.0,1.0,4.0
2020-04-05,14,CZ071,0.0,6.0,2.0,1.0
2020-04-05,14,CZ072,0.0,2.0,0.0,4.0
2020-04-05,14,CZ080,0.0,7.0,0.0,3.0
2020-04-06,15,CZ010,0.0,34.0,3.0,43.0
2020-04-06,15,CZ020,0.0,35.0,0.0,13.0
2020-04-06,15,CZ031,0.0,3.0,0.0,1.0
2020-04-06,15,CZ032,0.0,21.0,0.0,1.0
2020-04-06,15,CZ041,0.0,13.0,1.0,1.0
2020-04-06,15,CZ042,0.0,24.0,0.0,15.0
2020-04-06,15,CZ051,0.0,2.0,0.0,0.0
2020-04-06,15,CZ052,0.0,6.0,0.0,1.0
2020-04-06,15,CZ053,0.0,2.0,0.0,1.0
2020-04-06,15,CZ063,0.0,4.0,1.0,0.0
2020-04-06,15,CZ064,0.0,8.0,1.0,7.0
2020-04-06,15,CZ071,0.0,28.0,0.0,4.0
2020-04-06,15,CZ072,0.0,6.0,0.0,3.0
2020-04-06,15,CZ080,0.0,47.0,2.0,9.0
2020-04-07,15,CZ010,0.0,33.0,4.0,39.0
2020-04-07,15,CZ020,0.0,22.0,2.0,17.0
2020-04-07,15,CZ031,0.0,8.0,1.0,1.0
2020-04-07,15,CZ032,0.0,30.0,0.0,5.0
2020-04-07,15,CZ041,0.0,3.0,1.0,1.0
2020-04-07,15,CZ042,0.0,5.0,1.0,11.0
2020-04-07,15,CZ051,0.0,8.0,0.0,5.0
2020-04-07,15,CZ052,0.0,7.0,0.0,1.0
2020-04-07,15,CZ053,0.0,4.0,0.0,3.0
2020-04-07,15,CZ063,0.0,5.0,0.0,1.0
2020-04-07,15,CZ064,0.0,16.0,0.0,10.0
2020-04-07,15,CZ071,0.0,14.0,1.0,14.0
2020-04-07,15,CZ072,0.0,3.0,0.0,5.0
2020-04-07,15,CZ080,0.0,31.0,0.0,10.0
2020-04-08,15,CZ010,0.0,55.0,6.0,35.0
2020-04-08,15,CZ020,0.0,35.0,1.0,13.0
2020-04-08,15,CZ031,0.0,6.0,0.0,1.0
2020-04-08,15,CZ032,0.0,46.0,1.0,9.0
2020-04-08,15,CZ041,0.0,4.0,0.0,2.0
2020-04-08,15,CZ042,0.0,10.0,0.0,8.0
2020-04-08,15,CZ051,0.0,2.0,2.0,0.0
2020-04-08,15,CZ052,0.0,4.0,1.0,4.0
2020-04-08,15,CZ053,0.0,20.0,0.0,1.0
2020-04-08,15,CZ063,0.0,9.0,0.0,2.0
2020-04-08,15,CZ064,0.0,9.0,1.0,7.0
2020-04-08,15,CZ071,0.0,33.0,0.0,10.0
2020-04-08,15,CZ072,0.0,20.0,1.0,5.0
2020-04-08,15,CZ080,0.0,34.0,2.0,15.0
2020-04-09,15,CZ010,0.0,40.0,1.0,62.0
2020-04-09,15,CZ020,0.0,28.0,3.0,25.0
2020-04-09,15,CZ031,0.0,2.0,0.0,10.0
2020-04-09,15,CZ032,0.0,18.0,2.0,6.0
2020-04-09,15,CZ041,0.0,11.0,1.0,11.0
2020-04-09,15,CZ042,0.0,11.0,1.0,6.0
2020-04-09,15,CZ051,0.0,3.0,0.0,6.0
2020-04-09,15,CZ052,0.0,5.0,0.0,3.0
2020-04-09,15,CZ053,0.0,1.0,0.0,0.0
2020-04-09,15,CZ063,0.0,3.0,0.0,3.0
2020-04-09,15,CZ064,0.0,6.0,1.0,12.0
2020-04-09,15,CZ071,0.0,57.0,0.0,11.0
2020-04-09,15,CZ072,0.0,17.0,0.0,8.0
2020-04-09,15,CZ080,0.0,52.0,1.0,19.0
